0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:30:38 +0530] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 15835
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:31:12 +0530] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 15824
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:31:13 +0530] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 15824
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:31:23 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9544
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:31:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:31:24 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9544
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:31:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:31:24 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9544
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:31:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:37:13 +0530] "GET /project_3/ctl/SubjectListCtl HTTP/1.1" 200 15835
0:0:0:0:0:0:0:1 - - [21/Jan/2023:15:48:27 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7123
